class_unclass,contig_name,taxon,length,kmers
C,ENA_ABAV01024824_ABAV01024824.1,Bacillus cereus m1293 (taxid 526973),1256,0:58 526973:4 0:5 1239:4 0:2 131567:5 0:127 526969:5 131567:49 0:10 131567:1 0:29 131567:1 0:11 131567:5 0:10 131567:2 0:52 131567:5 0:1 1491:1 0:3 1491:5 0:69 9606:4 0:64 1491:5 0:24 1239:1 0:1 1239:5 0:3 1239:1 0:198 131567:3 526973:5 131567:15 526973:4 0:15 526973:4 0:1 526973:7 1396:1 1:13 1396:18 1239:4 0:9 1239:2 0:11 1:9 131567:54 526973:11 0:22 9606:17 0:4 9606:7 0:45 9606:5 0:166
C,ENA_ABAV01024897_ABAV01024897.1,Mycolicibacterium gilvum Spyr1 (taxid 278137),4305,0:3094 9606:1 0:53 278137:3 0:1120
C,ENA_ABAV01024900_ABAV01024900.1,Mitsuaria sp. 7 (taxid 1658665),8985,0:2102 1340425:2 0:6085 1658665:5 0:757
C,ENA_ABAV01024974_ABAV01024974.1,Marivirga tractuosa DSM 4126 (taxid 643867),5337,0:3121 9606:2 0:35 A:34 0:1466 643867:5 0:640
C,ENA_ABAV01024975_ABAV01024975.1,Marivirga tractuosa DSM 4126 (taxid 643867),912,0:158 643867:5 0:582 643867:5 0:128
C,ENA_ABAV01025024_ABAV01025024.1,Pandoravirus inopinatum (taxid 1605721),18867,0:5802 746360:3 0:4074 9606:2 0:3906 1605721:5 0:3976 1142511:2 0:1063
C,ENA_ABAV01025030_ABAV01025030.1,cellular organisms (taxid 131567),14157,0:3750 1142511:2 0:8562 9606:2 0:1807
C,ENA_ABAV01025033_ABAV01025033.1,Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony) (taxid 1142511),6175,0:4549 1142511:2 0:496 9606:1 0:710 59753:1 0:382
C,ENA_ABAV01025045_ABAV01025045.1,Edwardsiella tarda (taxid 636),6876,0:2515 9606:1 0:3607 636:4 0:715
C,ENA_ABAV01025095_ABAV01025095.1,cellular organisms (taxid 131567),18151,0:14286 1288:5 0:6 9606:1 0:2842 9606:4 0:973
C,ENA_ABAV01025258_ABAV01025258.1,Campylobacter sputorum (taxid 206),7952,0:1416 206:1 0:3380 206:1 0:3120
C,ENA_ABAV01025263_ABAV01025263.1,Musca domestica salivary gland hypertrophy virus (taxid 523909),2712,0:761 9606:1 523909:5 0:5 9606:2 0:1149 A:34 0:721
C,ENA_ABAV01025310_ABAV01025310.1,cellular organisms (taxid 131567),7931,0:1089 9606:1 0:3491 9606:3 0:2027 2079536:4 0:1282
C,ENA_ABAV01025342_ABAV01025342.1,Burkholderia sp. OLGA172 (taxid 1804984),11816,0:334 9606:1 0:11312 1804984:3 0:132
C,ENA_ABAV01025358_ABAV01025358.1,Desulfosporosinus orientis DSM 765 (taxid 768706),35064,0:7757 9606:2 0:11690 768706:4 0:6992 1534:1 0:8584
C,ENA_ABAV01025369_ABAV01025369.1,Alkaliphilus oremlandii OhILAs (taxid 350688),27302,0:19004 226:2 0:2710 350688:5 0:4720 226:2 0:825
C,ENA_ABAV01025389_ABAV01025389.1,cellular organisms (taxid 131567),37963,0:4014 185008:5 0:7483 1515:1 0:677 9606:5 0:16828 234831:3 0:8913
C,ENA_ABAV01025437_ABAV01025437.1,Clostridium tetani (taxid 1513),39041,0:3404 1513:5 0:1608 398579:2 0:33988
C,ENA_ABAV01025463_ABAV01025463.1,cellular organisms (taxid 131567),17905,0:7131 9606:5 0:4784 1234679:5 0:5946
C,ENA_ABAV01025583_ABAV01025583.1,Bacillus cereus m1293 (taxid 526973),16813,0:11071 9606:5 0:45 9606:7 0:4 9606:15 0:34 526973:1 131567:12 0:2158 1:9 1239:13 131567:5 0:6 1239:2 1396:2 0:11 1396:5 0:7 1:6 1396:1 526973:7 131567:1 526973:1 0:5 526973:5 0:12 9606:10 131567:5 526973:5 131567:3 0:28 9606:1 0:170 1239:1 0:3 1239:5 0:1 1239:1 0:24 1491:5 0:64 9606:4 0:68 632516:1 0:2930
C,ENA_ABAV01025775_ABAV01025775.1,Rhodococcus sp. S2-17 (taxid 1990687),4044,0:443 1990687:5 0:366 1990687:5 0:3191
C,ENA_ABAV01025787_ABAV01025787.1,other sequences (taxid 28384),2942,1:134 28384:30 1:214 28384:26 1:248 28384:34 1:4 0:2213 9606:5
C,ENA_ABAV01025803_ABAV01025803.1,Geobacter lovleyi SZ (taxid 398767),23623,0:7990 638303:4 0:7643 398767:5 0:7407 111781:2 0:538
C,ENA_ABAV01025810_ABAV01025810.1,Pseudoalteromonas arctica A 37-1-2 (taxid 1117313),5813,0:3928 1117313:4 0:173 1117313:4 0:1670
C,ENA_ABAV01025840_ABAV01025840.1,Prauserella marina (taxid 530584),17828,0:6536 9606:1 0:4788 530584:2 0:6467
C,ENA_ABAV01025900_ABAV01025900.1,cellular organisms (taxid 131567),1440,9606:11 0:161 9606:12 131567:46 526973:23 0:1153
C,ENA_ABAV01025922_ABAV01025922.1,Bacillus cereus m1550 (taxid 526969),1481,0:180 1239:4 0:2 131567:5 0:127 526969:5 131567:49 0:10 131567:1 0:29 131567:1 0:1034
C,ENA_ABAV01025925_ABAV01025925.1,Lentibacillus amyloliquefaciens (taxid 1472767),13645,0:1336 1485:1 0:109 1472767:2 0:12163
C,ENA_ABAV01025973_ABAV01025973.1,Terrabacteria group (taxid 1783272),1917,0:299 131567:77 2:1 131567:5 1457195:1 0:12 1783272:5 0:5 633:1 131567:19 0:1458
C,ENA_ABAV01026141_ABAV01026141.1,cellular organisms (taxid 131567),12562,0:1926 28251:2 0:3560 9606:2 0:7038
C,ENA_ABAV01026293_ABAV01026293.1,Marinobacter salarius (taxid 1420917),7003,0:1289 1420917:5 0:2300 1379159:4 0:3371
C,ENA_ABAV01026428_ABAV01026428.1,Myxococcus (taxid 32),20574,0:13539 32:5 0:3740 1803846:2 0:3254
C,ENA_ABAV01026443_ABAV01026443.1,Bacteria (taxid 2),3423,0:1256 234:1 0:837 357809:1 0:1294
C,ENA_ABAV01026469_ABAV01026469.1,Tsukamurella tyrosinosolvens (taxid 57704),36234,0:11862 57704:5 0:10806 9606:4 0:13523
C,ENA_ABAV01026480_ABAV01026480.1,Bacillus (taxid 1386),4641,0:227 1386:3 0:1877 9606:2 0:2498
C,ENA_ABAV01026496_ABAV01026496.1,Staphylococcus succinus (taxid 61015),25827,0:4533 61015:5 0:17681 387:2 0:3572
C,ENA_ABAV01026556_ABAV01026556.1,Polaribacter sp. SA4-12 (taxid 1312072),5084,0:1619 9606:1 0:2315 1312072:3 0:1112
C,ENA_ABAV01026573_ABAV01026573.1,cellular organisms (taxid 131567),1834,131567:4 2:5 1239:2 0:5 2:2 0:92 9606:9 131567:77 0:1604
C,ENA_ABAV01026575_ABAV01026575.1,Pandoravirus inopinatum (taxid 1605721),16411,0:7738 746360:3 0:6869 1605721:5 0:1762
C,ENA_ABAV01026733_ABAV01026733.1,Mycoplasma conjunctivae (taxid 45361),20276,0:4032 44008:3 0:10538 9606:1 0:2170 9606:2 0:1791 45361:5 0:6 9606:1 0:1693
C,ENA_ABAV01026760_ABAV01026760.1,Pseudohongiella spirulinae (taxid 1249552),3533,0:159 1249552:5 0:2902 9606:4 131567:429
C,ENA_ABAV01026768_ABAV01026768.1,Edwardsiella (taxid 635),2028,0:1386 9606:3 0:42 9606:5 131567:31 561:5 0:42 131567:6 561:5 131567:1 0:33 9606:2 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 0:54 131567:6 561:5 131567:1 0:33 9606:2 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:3
C,ENA_ABAV01026786_ABAV01026786.1,Calothrix brevissima NIES-22 (taxid 1973478),899,0:764 9606:1 0:1 9606:6 0:22 1973478:5 0:1 1973478:5 0:1 1973478:5 0:54
C,ENA_ABAV01026833_ABAV01026833.1,Bacillus cereus m1293 (taxid 526973),1084,0:254 131567:14 1:9 0:5 1239:5 0:3 9606:4 0:9 1396:18 1:13 1396:1 526973:7 0:1 526973:4 0:15 526973:4 131567:15 526973:5 131567:3 0:28 9606:1 0:170 1239:1 0:3 1239:5 0:1 1239:1 0:24 1491:5 0:64 9606:4 0:69 1491:5 0:3 1491:1 0:1 131567:5 0:52 131567:2 0:10 131567:5 0:11 131567:1 0:29 131567:1 0:10 131567:49 526969:5 0:95
C,ENA_ABAV01026846_ABAV01026846.1,Yersinia similis (taxid 367190),14999,0:2388 9606:1 0:627 9606:5 0:3891 9606:2 0:1958 9606:3 0:5743 9606:5 0:43 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:23 367190:1 0:5 367190:1 0:23 338187:1 0:29 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:4
C,ENA_ABAV01026870_ABAV01026870.1,Nitrosomonas communis (taxid 44574),5544,0:653 44574:1 1:1 0:18 44574:5 1:1 0:18 1:17 0:1 1:5 0:4790
C,ENA_ABAV01026885_ABAV01026885.1,Paucibacter sp. KCTC 42545 (taxid 1768242),13511,0:6127 709986:1 0:3504 1768242:5 0:1641 1505:1 0:2198
C,ENA_ABAV01027035_ABAV01027035.1,cellular organisms (taxid 131567),16023,0:1588 9606:2 0:6904 471:2 0:7493
C,ENA_ABAV01027037_ABAV01027037.1,Bacteria (taxid 2),3676,0:394 1472767:2 0:2247 909768:2 0:976 A:21 
C,ENA_ABAV01027060_ABAV01027060.1,Bacteria (taxid 2),15088,0:3631 117157:5 0:217 227941:5 0:899 A:34 0:10263
C,ENA_ABAV01027074_ABAV01027074.1,Streptomyces davaonensis JCM 4913 (taxid 1214101),13601,0:3329 1214101:2 0:4429 746360:1 0:3965 9606:1 0:1200 255247:1 0:639
C,ENA_ABAV01027156_ABAV01027156.1,Bacillus cereus m1293 (taxid 526973),2083,0:117 526973:3 0:26 131567:5 0:1 131567:8 0:11 131567:1 9606:19 0:7 9606:1 0:78 526973:5 1239:17 0:1 1491:4 0:68 9606:1 0:52 9606:1 0:45 131567:2 0:14 1491:5 0:77 526973:39 1239:9 0:164 526973:5 0:2 9606:10 0:710 2057025:4 0:35 1491:3 0:5 131567:3 1491:4 0:487
C,ENA_ABAV01027158_ABAV01027158.1,Firmicutes (taxid 1239),1313,0:1214 1239:4 0:2 131567:5 0:54
C,ENA_ABAV01027167_ABAV01027167.1,Bacillus cereus m1293 (taxid 526973),2963,0:439 9606:6 0:18 9606:46 0:84 9606:5 0:9 9606:5 0:110 9606:5 0:532 526973:4 0:5 1239:4 0:2 131567:5 0:138 131567:43 0:10 131567:1 0:29 131567:1 0:11 131567:5 0:64 131567:5 0:5 1491:5 0:69 9606:4 0:64 1491:5 0:24 1239:1 0:1 1239:5 0:3 1239:1 0:170 9606:1 0:28 131567:3 526973:5 131567:15 526973:23 131567:1 526973:7 1396:1 1:13 1396:18 1239:2 1396:7 131567:4 1239:13 1:9 131567:54 526973:11 0:22 9606:17 0:4 9606:7 0:45 9606:5 0:220 526973:5 0:4 526973:5 0:393 9606:1 0:12 1491:4 0:27
C,ENA_ABAV01027168_ABAV01027168.1,Bacillus cereus m1293 (taxid 526973),2322,0:33 526973:39 1239:9 0:164 526973:5 0:2 9606:10 0:465 2057025:1 0:1 1:7 2:1 1:5 0:237 2057025:4 0:35 1491:3 0:5 131567:3 1491:4 0:612 9606:1 0:5 9606:11 0:113 9606:8 131567:7 526973:12 0:3 526973:1 0:24 526973:1 0:146 9606:2 0:131 9606:11 526973:10 131567:6 0:3 526973:3 0:28 526973:3 0:33 526973:23 131567:46 9606:12
C,ENA_ABAV01027170_ABAV01027170.1,Clostridium botulinum (taxid 1491),1083,0:102 131567:77 9606:9 0:92 2:2 0:5 1239:2 2:5 131567:49 1491:14 0:56 2:1 0:215 131567:6 0:6 1491:1 0:36 9606:8 131567:2 1491:21 0:340
C,ENA_ABAV01027171_ABAV01027171.1,Bacillus cereus m1293 (taxid 526973),1307,0:38 131567:5 0:1 1491:1 0:3 1491:5 0:69 9606:4 0:64 1491:5 0:24 1239:1 0:1 1239:5 0:3 1239:1 0:170 9606:1 0:28 131567:3 526973:5 131567:15 526973:4 0:15 526973:4 0:1 526973:7 1396:1 1:13 1396:18 1239:2 1396:7 131567:4 1239:13 1:9 131567:14 0:709
C,ENA_ABAV01027172_ABAV01027172.1,Bacillus cereus m1293 (taxid 526973),1825,0:155 9606:10 0:24 526973:4 0:1 526973:7 1396:1 1:13 1396:18 1239:2 1396:7 131567:4 1239:13 1:9 131567:14 0:1039 131567:17 526973:11 0:22 9606:17 0:4 9606:7 0:45 9606:5 0:218 526973:5 0:4 526973:5 0:110
C,ENA_ABAV01027173_ABAV01027173.1,Bacillus cereus m1293 (taxid 526973),2122,0:59 9606:11 526973:10 131567:6 0:3 526973:3 0:28 526973:3 0:33 526973:23 131567:9 0:27 131567:9 9606:12 0:213 1491:1 0:145 9606:4 131567:5 526973:5 0:130 131567:28 0:7 131567:2 0:141 2:2 0:5 1239:2 2:5 131567:41 0:7 131567:1 0:220 9606:4 0:62 131567:6 0:6 1491:1 0:37 9606:7 0:765
C,ENA_ABAV01027174_ABAV01027174.1,Bacillus cereus m1293 (taxid 526973),785,0:213 9606:1 0:12 1491:4 0:41 526973:2 0:8 131567:10 0:133 526973:3 0:26 131567:5 0:1 131567:8 0:11 131567:1 9606:19 0:7 9606:1 0:78 526973:5 1239:17 0:1 1491:4 0:68 9606:1 0:52 9606:1 0:18
C,ENA_ABAV01027224_ABAV01027224.1,Pandoravirus inopinatum (taxid 1605721),12342,0:1039 1605721:5 0:3886 1904640:3 0:7375
C,ENA_ABAV01027256_ABAV01027256.1,Yersinia similis (taxid 367190),1724,0:1044 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:5 367190:1 0:29 293826:4 9606:1 0:545
C,ENA_ABAV01027330_ABAV01027330.1,Proteobacteria (taxid 1224),10718,0:189 1921086:5 0:7619 271865:5 0:252 9606:4 0:2610
C,ENA_ABAV01027353_ABAV01027353.1,Mariprofundus aestuarium (taxid 1921086),4810,0:742 9606:1 0:2610 1921086:5 0:1418
C,ENA_ABAV01027529_ABAV01027529.1,Bacteria (taxid 2),41011,0:20237 1224:5 0:5757 290317:5 0:14973
C,ENA_ABAV01027911_ABAV01027911.1,Lactobacillus plantarum ZJ316 (taxid 1284663),984,0:209 1284663:1 0:3 1284663:5 0:732
C,ENA_ABAV01027916_ABAV01027916.1,cellular organisms (taxid 131567),14300,0:12077 43988:5 0:19 9606:5 0:2160
C,ENA_ABAV01027955_ABAV01027955.1,Mycobacteroides abscessus (taxid 36809),6771,0:1514 9606:4 0:2 9606:5 0:1054 36809:5 0:378 36809:5 0:307 36809:5 0:67 36809:5 0:3386
C,ENA_ABAV01027957_ABAV01027957.1,Vibrio natriegens (taxid 691),1713,131567:165 691:1 0:1513
C,ENA_ABAV01028156_ABAV01028156.1,Alkaliphilus oremlandii OhILAs (taxid 350688),1968,0:547 350688:5 0:1167 350688:5 0:210
C,ENA_ABAV01028200_ABAV01028200.1,Campylobacter fetus subsp. fetus 04/554 (taxid 1240980),29558,0:10527 9606:1 0:11125 1240980:3 0:6664 561230:2 0:1202
C,ENA_ABAV01028361_ABAV01028361.1,Lactobacillus plantarum (taxid 1590),21863,0:8148 592029:5 0:11255 1590:6 1:1 1590:5 0:2409
C,ENA_ABAV01028363_ABAV01028363.1,cellular organisms (taxid 131567),62750,0:6191 9606:5 0:28966 748449:2 0:6282 1536775:5 0:10227 1458426:5 0:11033
C,ENA_ABAV01028380_ABAV01028380.1,Lutibacter profundi (taxid 1622118),5827,0:3087 9606:4 0:204 1622118:5 0:2493
C,ENA_ABAV01028399_ABAV01028399.1,Marinilactibacillus sp. 15R (taxid 1911586),19123,0:30 714:4 0:13542 1911586:5 0:5508
C,ENA_ABAV01028420_ABAV01028420.1,Agrobacterium rhizogenes (taxid 359),2638,0:1079 9606:1 0:292 359:4 0:1228
C,ENA_ABAV01028426_ABAV01028426.1,Agrobacterium rhizogenes (taxid 359),6723,0:407 9606:1 0:648 359:4 0:5629
C,ENA_ABAV01028536_ABAV01028536.1,cellular organisms (taxid 131567),3684,0:154 9606:1 0:257 1661694:1 0:3237
C,ENA_ABAV01028602_ABAV01028602.1,Bacillus cereus m1293 (taxid 526973),701,0:24 526973:2 0:8 131567:10 0:133 526973:3 0:26 131567:5 0:1 131567:8 0:11 131567:1 9606:19 0:7 9606:1 0:78 526973:5 1239:1 A:34 0:56 9606:1 0:52 9606:1 0:38 131567:15 0:8 1491:5 0:77 526973:37
C,ENA_ABAV01028609_ABAV01028609.1,Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony) (taxid 1142511),2681,0:1139 1142511:2 0:1201 59753:1 0:304
C,ENA_ABAV01028925_ABAV01028925.1,Clostridium botulinum (taxid 1491),941,0:581 1491:21 131567:2 9606:8 0:36 1491:1 0:6 131567:6 0:62 9606:4 0:149 2:1 0:30
C,ENA_ABAV01028942_ABAV01028942.1,Bacillus cereus m1293 (taxid 526973),885,131567:34 526973:11 0:22 9606:14 A:34 0:25 9606:5 0:220 526973:5 0:4 526973:5 0:393 9606:1 0:12 1491:4 0:41 526973:2 0:8 131567:10 0:1
C,ENA_ABAV01028990_ABAV01028990.1,cellular organisms (taxid 131567),24851,0:17205 34098:2 0:3541 9606:2 0:4067
C,ENA_ABAV01029127_ABAV01029127.1,Bacillus cereus m1550 (taxid 526969),1243,131567:48 526969:5 0:1156
C,ENA_ABAV01029231_ABAV01029231.1,cellular organisms (taxid 131567),26494,0:806 9606:5 0:6476 356851:5 0:19168
C,ENA_ABAV01029233_ABAV01029233.1,cellular organisms (taxid 131567),11921,0:1581 9606:1 0:6 9606:2 0:8444 1938334:3 0:1850
C,ENA_ABAV01029334_ABAV01029334.1,cellular organisms (taxid 131567),2948,0:1492 9606:5 0:42 49338:5 0:1370
C,ENA_ABAV01029362_ABAV01029362.1,Pseudomonas arsenicoxydans (taxid 702115),1963,0:1816 9606:3 702115:4 0:106
C,ENA_ABAV01029569_ABAV01029569.1,Maribacter sp. T28 (taxid 1836467),5391,0:3218 9606:1 0:10 1836467:3 0:204 1280:1 0:1920
C,ENA_ABAV01029713_ABAV01029713.1,Burkholderia vietnamiensis (taxid 60552),1256,0:813 9606:11 1759399:1 0:32 131567:4 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 0:1 2:5 0:1 502025:5 0:6 264445:1 2:5 131567:1 0:41 131567:1 60552:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 0:6 40324:5 0:6 1150460:1 0:5 131567:1 0:6 80840:5 2:1 80840:5 0:6 216778:1 346:5 0:1 131567:5 1437360:1 2080742:5 0:1 32008:5 0:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:2
C,ENA_ABAV01029715_ABAV01029715.1,cellular organisms (taxid 131567),12403,0:2184 48296:5 0:4724 9606:5 0:5451
C,ENA_ABAV01029799_ABAV01029799.1,Rhizobiales (taxid 356),14296,0:8234 9606:2 0:5 9606:3 0:3564 1224:5 0:1 2021234:2 356:5 1224:7 0:538 9606:7 0:1889
C,ENA_ABAV01029888_ABAV01029888.1,Pseudohongiella spirulinae (taxid 1249552),9715,0:6408 1249552:5 0:2276 9606:1 0:991
C,ENA_ABAV01029916_ABAV01029916.1,Bacillus cereus m1293 (taxid 526973),2358,526973:2 9606:11 0:131 9606:2 0:146 526973:1 0:24 526973:1 0:3 526973:12 131567:7 9606:8 0:113 9606:34 0:251 A:34 0:471 1491:4 131567:3 0:5 1491:3 0:35 2057025:4 0:236 A:34 0:447 9606:10 0:2 526973:5 0:165 1239:9 526973:39 0:72
C,ENA_ABAV01029917_ABAV01029917.1,Clostridium botulinum (taxid 1491),948,0:113 A:34 0:612 1491:21 131567:2 9606:8 0:36 1491:1 0:6 131567:6 0:62 9606:4 0:9
C,ENA_ABAV01029918_ABAV01029918.1,Clostridium botulinum (taxid 1491),1871,131567:46 526969:5 0:127 131567:5 0:2 1239:4 0:5 526973:4 0:1326 1491:21 131567:2 9606:8 0:36 1491:1 0:6 131567:6 0:62 9606:4 0:149 2:1 0:17
C,ENA_ABAV01029920_ABAV01029920.1,Bacillus cereus m1293 (taxid 526973),911,131567:72 0:1 A:34 0:95 526973:5 131567:5 9606:4 0:145 1491:1 0:37 9606:15 0:161 9606:12 131567:46 526973:23 0:33 526973:3 0:28 526973:3 0:3 131567:6 526973:10 9606:11 0:124
C,ENA_ABAV01029921_ABAV01029921.1,Bacillus cereus m1293 (taxid 526973),861,0:29 A:34 0:144 9606:5 0:45 9606:7 0:4 9606:17 0:22 526973:11 131567:54 1:9 1239:13 131567:4 1396:7 1239:2 1396:18 1:13 1396:1 526973:7 0:1 526973:4 0:15 526973:4 131567:15 526973:5 131567:3 0:28 9606:1 0:170 1239:1 0:3 1239:5 0:1 1239:1 0:24 1491:5 0:64 9606:4 0:27
C,ENA_ABAV01029922_ABAV01029922.1,Clostridium botulinum (taxid 1491),766,0:620 1491:21 131567:2 9606:8 0:43 131567:1 0:37
C,ENA_ABAV01029924_ABAV01029924.1,Bacillus cereus m1293 (taxid 526973),1439,0:130 1491:4 131567:3 0:5 1491:3 0:35 2057025:4 0:237 1:5 2:1 1:7 0:1 2057025:1 0:464 9606:10 0:2 526973:5 0:165 1239:9 526973:39 0:77 1491:5 0:8 131567:15 0:38 9606:1 0:52 9606:1 0:78
C,ENA_ABAV01029925_ABAV01029925.1,Bacillus cereus m1293 (taxid 526973),1280,0:198 526973:5 0:4 526973:5 0:268 9606:7 0:4 9606:17 0:22 526973:11 131567:54 1:9 1239:13 131567:4 1396:7 1239:2 1396:18 1:13 1396:1 526973:7 131567:1 526973:23 131567:15 526973:5 131567:3 0:199 1239:1 0:3 1239:5 0:1 1239:1 0:24 1491:5 0:64 9606:4 0:69 1491:5 0:3 1491:1 0:1 131567:5 0:52 131567:2 0:10 131567:5 0:11 131567:1 0:29 131567:1 0:10 131567:18
C,ENA_ABAV01029926_ABAV01029926.1,Bacillus cereus m1293 (taxid 526973),1050,0:202 1:5 2:1 1:7 0:1 2057025:1 A:34 0:431 9606:10 0:2 526973:5 0:168 1239:9 526973:39 0:77 1491:5 0:8 131567:11
C,ENA_ABAV01029928_ABAV01029928.1,Bacillus cereus m1293 (taxid 526973),1175,0:3 526973:5 0:218 9606:5 0:45 9606:7 0:4 9606:17 0:30 526973:1 0:22 131567:34 1:9 1239:13 131567:4 1396:7 1239:2 1396:18 1:13 1396:1 526973:7 131567:1 526973:4 0:7 526973:1 0:18 131567:8 526973:5 131567:3 0:28 9606:1 0:170 1239:1 0:3 1239:5 0:1 1239:1 0:24 1491:5 0:64 9606:4 0:69 1491:5 0:3 1491:1 0:1 131567:5 0:52 131567:2 0:10 131567:5 0:11 131567:1 0:29 131567:1 0:10 131567:49 526969:5 0:63
C,ENA_ABAV01029929_ABAV01029929.1,Bacillus cereus m1293 (taxid 526973),1117,0:95 1239:9 526973:39 0:77 1491:5 0:8 131567:15 0:38 9606:1 0:52 9606:1 0:68 1491:4 0:1 1239:17 526973:5 0:79 9606:1 0:7 9606:19 131567:1 0:11 131567:8 0:1 131567:5 0:26 526973:3 0:133 131567:10 0:8 526973:2 0:41 1491:4 0:12 9606:1 0:276
C,ENA_ABAV01029930_ABAV01029930.1,cellular organisms (taxid 131567),1500,131567:16 2:5 1239:2 0:5 2:2 0:92 9606:9 131567:77 0:130 526973:5 131567:5 9606:4 0:145 1491:1 0:37 9606:15 0:161 9606:12 131567:46 526973:23 0:33 526973:3 0:28 526973:3 0:3 131567:6 526973:10 9606:11 0:131 9606:2 0:146 526973:1 0:24 526973:1 0:3 526973:12 131567:7 9606:8 0:113 9606:6 A:34 0:89
C,ENA_ABAV01029931_ABAV01029931.1,Clostridium botulinum (taxid 1491),832,0:24 A:34 0:313 1491:4 131567:3 0:5 1491:3 0:35 2057025:4 0:237 1:5 2:1 1:7 0:1 2057025:1 0:121
C,ENA_ABAV01029933_ABAV01029933.1,Bacillus cereus m1293 (taxid 526973),930,0:48 9606:1 0:35 A:34 0:52 1491:4 0:1 1239:17 526973:5 0:78 9606:1 0:7 9606:19 131567:1 0:11 131567:8 0:1 131567:5 0:26 526973:3 0:133 131567:10 0:8 526973:2 0:41 1491:4 0:12 9606:1 0:328
C,ENA_ABAV01029934_ABAV01029934.1,Bacillus cereus m1293 (taxid 526973),1464,0:52 1:5 2:1 1:7 0:1 2057025:1 0:464 9606:10 0:2 526973:5 0:165 1239:9 526973:39 0:77 1491:5 0:8 131567:15 0:38 9606:1 0:52 9606:1 0:68 1491:4 0:1 1239:17 526973:5 0:78 9606:1 0:7 9606:19 131567:1 0:11 131567:8 0:1 131567:5 0:26 526973:3 0:133 131567:10 0:8 526973:2 0:64
C,ENA_ABAV01029935_ABAV01029935.1,Clostridium botulinum (taxid 1491),1554,0:60 131567:5 0:2 1239:4 0:957 1491:4 131567:3 0:5 1491:3 0:276 1:5 2:1 1:7 0:1 2057025:1 0:186
C,ENA_ABAV01029936_ABAV01029936.1,Bacillus cereus m1293 (taxid 526973),1440,0:99 526973:35 0:77 1491:5 0:8 131567:15 0:38 9606:1 0:52 9606:1 0:68 1491:4 0:1 1239:17 526973:5 0:78 9606:1 0:7 9606:19 131567:1 0:11 131567:8 0:1 131567:5 0:26 526973:3 0:133 131567:10 0:8 526973:2 0:41 1491:4 0:12 9606:1 0:393 526973:5 0:4 526973:5 0:202
C,ENA_ABAV01029937_ABAV01029937.1,Bacillus cereus m1550 (taxid 526969),941,0:8 131567:11 526969:5 0:127 131567:5 0:2 1239:4 0:5 526973:4 0:621 A:34 0:81
