index,identifiers,gc,length,acti_mapped.sorted_cov,bestsumorder_phylum
679,ENA_WAHB01000680_WAHB01000680.1,0.3675,112581,231.5221,Cnidaria
680,ENA_WAHB01000681_WAHB01000681.1,0.3736,112285,499.7518,Cnidaria
681,ENA_WAHB01000682_WAHB01000682.1,0.3775,110301,251.8419,Chordata
682,ENA_WAHB01000683_WAHB01000683.1,0.3574,111739,224.2862,Cnidaria
683,ENA_WAHB01000684_WAHB01000684.1,0.3722,111765,255.1954,Cnidaria
684,ENA_WAHB01000685_WAHB01000685.1,0.3747,111621,286.4626,Cnidaria
685,ENA_WAHB01000686_WAHB01000686.1,0.3754,111353,240.7221,Arthropoda
686,ENA_WAHB01000687_WAHB01000687.1,0.3708,111831,383.9302,Cnidaria
687,ENA_WAHB01000688_WAHB01000688.1,0.369,113035,343.7062,Cnidaria
688,ENA_WAHB01000689_WAHB01000689.1,0.3703,112818,327.392,Cnidaria
689,ENA_WAHB01000690_WAHB01000690.1,0.3698,116449,221.7022,Cnidaria
690,ENA_WAHB01000691_WAHB01000691.1,0.372,112277,283.2395,Cnidaria
691,ENA_WAHB01000692_WAHB01000692.1,0.3579,111155,208.6146,Cnidaria
692,ENA_WAHB01000693_WAHB01000693.1,0.3652,111764,231.6179,Cnidaria
693,ENA_WAHB01000694_WAHB01000694.1,0.365,116180,253.8682,Cnidaria
694,ENA_WAHB01000695_WAHB01000695.1,0.3727,110826,223.9223,Cnidaria
695,ENA_WAHB01000696_WAHB01000696.1,0.3749,110524,256.0291,Chordata
696,ENA_WAHB01000697_WAHB01000697.1,0.4061,109951,1378.1888,no-hit
697,ENA_WAHB01000698_WAHB01000698.1,0.3669,110015,301.9643,Cnidaria
698,ENA_WAHB01000699_WAHB01000699.1,0.4099,109641,823.1363,Cnidaria
699,ENA_WAHB01000700_WAHB01000700.1,0.3686,110011,268.536,Cnidaria
700,ENA_WAHB01000701_WAHB01000701.1,0.3807,114194,510.2554,Cnidaria
701,ENA_WAHB01000702_WAHB01000702.1,0.3763,113060,223.8567,Cnidaria
702,ENA_WAHB01000703_WAHB01000703.1,0.3751,109829,259.7788,Cnidaria
703,ENA_WAHB01000704_WAHB01000704.1,0.3756,109585,354.4951,Cnidaria
704,ENA_WAHB01000705_WAHB01000705.1,0.3811,111352,234.3326,Cnidaria
705,ENA_WAHB01000706_WAHB01000706.1,0.3675,109115,217.8173,Cnidaria
706,ENA_WAHB01000707_WAHB01000707.1,0.3727,111023,496.5695,Cnidaria
707,ENA_WAHB01000708_WAHB01000708.1,0.3721,111993,246.0056,Cnidaria
708,ENA_WAHB01000709_WAHB01000709.1,0.3636,108580,227.1352,no-hit
709,ENA_WAHB01000710_WAHB01000710.1,0.3776,108269,257.5662,Cnidaria
710,ENA_WAHB01000711_WAHB01000711.1,0.3629,107972,247.6173,Cnidaria
711,ENA_WAHB01000712_WAHB01000712.1,0.3795,108181,247.1494,Cnidaria
712,ENA_WAHB01000713_WAHB01000713.1,0.3697,108301,276.1464,Cnidaria
713,ENA_WAHB01000714_WAHB01000714.1,0.374,105218,262.227,no-hit
714,ENA_WAHB01000715_WAHB01000715.1,0.3808,110060,255.5291,Cnidaria
715,ENA_WAHB01000716_WAHB01000716.1,0.3711,109286,230.9559,Cnidaria
716,ENA_WAHB01000717_WAHB01000717.1,0.3596,107499,210.2524,no-hit
717,ENA_WAHB01000718_WAHB01000718.1,0.3727,107697,1347.0629,Cnidaria
718,ENA_WAHB01000719_WAHB01000719.1,0.3797,116024,250.9001,no-hit
719,ENA_WAHB01000720_WAHB01000720.1,0.385,109354,665.5555,Cnidaria
720,ENA_WAHB01000721_WAHB01000721.1,0.379,107313,714.3633,Cnidaria
721,ENA_WAHB01000722_WAHB01000722.1,0.3628,106026,623.4133,no-hit
722,ENA_WAHB01000723_WAHB01000723.1,0.3827,106504,367.2268,Cnidaria
723,ENA_WAHB01000724_WAHB01000724.1,0.3811,105975,292.4744,Cnidaria
724,ENA_WAHB01000725_WAHB01000725.1,0.368,106366,316.7271,Cnidaria
725,ENA_WAHB01000726_WAHB01000726.1,0.3572,103239,189.5444,Cnidaria
726,ENA_WAHB01000727_WAHB01000727.1,0.3795,106331,247.4129,Cnidaria
727,ENA_WAHB01000728_WAHB01000728.1,0.376,105728,289.3368,Cnidaria
728,ENA_WAHB01000729_WAHB01000729.1,0.3934,107500,1125.223,Cnidaria
729,ENA_WAHB01000730_WAHB01000730.1,0.3688,106162,224.9668,Cnidaria
730,ENA_WAHB01000731_WAHB01000731.1,0.3715,103981,231.4969,Cnidaria
731,ENA_WAHB01000732_WAHB01000732.1,0.3821,111438,295.5514,Cnidaria
732,ENA_WAHB01000733_WAHB01000733.1,0.3625,105388,246.4547,Cnidaria
733,ENA_WAHB01000734_WAHB01000734.1,0.3687,105538,239.5455,Cnidaria
734,ENA_WAHB01000735_WAHB01000735.1,0.3767,104243,378.3319,Arthropoda
735,ENA_WAHB01000736_WAHB01000736.1,0.3651,103662,296.1018,no-hit
736,ENA_WAHB01000737_WAHB01000737.1,0.3689,110105,239.9736,Cnidaria
737,ENA_WAHB01000738_WAHB01000738.1,0.3732,103683,311.3525,Cnidaria
738,ENA_WAHB01000739_WAHB01000739.1,0.3592,104398,207.9599,Cnidaria
739,ENA_WAHB01000740_WAHB01000740.1,0.3765,102586,392.156,Chordata
740,ENA_WAHB01000741_WAHB01000741.1,0.3619,103350,282.1834,Cnidaria
741,ENA_WAHB01000742_WAHB01000742.1,0.3694,108774,247.1445,no-hit
742,ENA_WAHB01000743_WAHB01000743.1,0.3693,102720,249.8294,Cnidaria
743,ENA_WAHB01000744_WAHB01000744.1,0.3672,103355,223.7215,no-hit
744,ENA_WAHB01000745_WAHB01000745.1,0.3736,103504,237.6812,Cnidaria
745,ENA_WAHB01000746_WAHB01000746.1,0.3841,102641,282.1466,Arthropoda
746,ENA_WAHB01000747_WAHB01000747.1,0.3789,105407,1412.5641,Cnidaria
747,ENA_WAHB01000748_WAHB01000748.1,0.3612,102097,241.3654,Cnidaria
748,ENA_WAHB01000749_WAHB01000749.1,0.3673,102015,252.0362,Cnidaria
749,ENA_WAHB01000750_WAHB01000750.1,0.3654,102160,222.3198,Cnidaria
750,ENA_WAHB01000751_WAHB01000751.1,0.3693,105717,325.036,Cnidaria
751,ENA_WAHB01000752_WAHB01000752.1,0.3755,101262,222.3945,no-hit
752,ENA_WAHB01000753_WAHB01000753.1,0.3764,101495,248.1719,Cnidaria
753,ENA_WAHB01000754_WAHB01000754.1,0.3643,101633,227.6188,Cnidaria
754,ENA_WAHB01000755_WAHB01000755.1,0.3775,102049,287.8093,Cnidaria
755,ENA_WAHB01000756_WAHB01000756.1,0.3742,116073,767.377,Cnidaria
756,ENA_WAHB01000757_WAHB01000757.1,0.3713,101411,256.3305,Cnidaria
757,ENA_WAHB01000758_WAHB01000758.1,0.3588,101123,211.4505,Cnidaria
758,ENA_WAHB01000759_WAHB01000759.1,0.3724,105632,277.9843,Cnidaria
759,ENA_WAHB01000760_WAHB01000760.1,0.3754,100819,282.094,Cnidaria
760,ENA_WAHB01000761_WAHB01000761.1,0.3754,101497,222.2834,Cnidaria
761,ENA_WAHB01000762_WAHB01000762.1,0.3711,107905,270.2927,Cnidaria
762,ENA_WAHB01000763_WAHB01000763.1,0.389,100750,312.4637,Cnidaria
763,ENA_WAHB01000764_WAHB01000764.1,0.3726,101338,250.8184,Cnidaria
764,ENA_WAHB01000765_WAHB01000765.1,0.3629,99971,232.6419,Cnidaria
765,ENA_WAHB01000766_WAHB01000766.1,0.3736,99711,251.6339,Cnidaria
766,ENA_WAHB01000767_WAHB01000767.1,0.3716,99737,232.3567,Chordata
767,ENA_WAHB01000768_WAHB01000768.1,0.3636,99845,366.2313,Cnidaria
768,ENA_WAHB01000769_WAHB01000769.1,0.3656,99539,238.4905,Cnidaria
769,ENA_WAHB01000770_WAHB01000770.1,0.3799,101544,552.1274,Cnidaria
770,ENA_WAHB01000771_WAHB01000771.1,0.374,99351,375.5671,Cnidaria
771,ENA_WAHB01000772_WAHB01000772.1,0.376,99842,265.2046,Cnidaria
772,ENA_WAHB01000773_WAHB01000773.1,0.3721,99522,325.2784,Cnidaria
773,ENA_WAHB01000774_WAHB01000774.1,0.3615,99699,820.4224,Cnidaria
774,ENA_WAHB01000775_WAHB01000775.1,0.3761,100588,279.2599,Cnidaria
775,ENA_WAHB01000776_WAHB01000776.1,0.367,97575,264.2612,Cnidaria
776,ENA_WAHB01000777_WAHB01000777.1,0.3616,98439,220.6486,Cnidaria
777,ENA_WAHB01000778_WAHB01000778.1,0.3703,98921,313.5686,Cnidaria
778,ENA_WAHB01000779_WAHB01000779.1,0.3648,98420,237.605,no-hit
779,ENA_WAHB01000780_WAHB01000780.1,0.3736,98609,313.221,Cnidaria
780,ENA_WAHB01000781_WAHB01000781.1,0.3716,98879,244.381,Cnidaria
781,ENA_WAHB01000782_WAHB01000782.1,0.3737,97355,223.6646,Chordata
782,ENA_WAHB01000783_WAHB01000783.1,0.3718,97937,237.7382,Cnidaria
783,ENA_WAHB01000784_WAHB01000784.1,0.3755,98290,252.1061,Cnidaria
784,ENA_WAHB01000785_WAHB01000785.1,0.3626,98010,327.5287,no-hit
785,ENA_WAHB01000786_WAHB01000786.1,0.3739,96268,324.2377,Cnidaria
786,ENA_WAHB01000787_WAHB01000787.1,0.3689,96276,254.1569,Cnidaria
787,ENA_WAHB01000788_WAHB01000788.1,0.3926,96441,265.8558,no-hit
788,ENA_WAHB01000789_WAHB01000789.1,0.3755,105257,254.69,Cnidaria
789,ENA_WAHB01000790_WAHB01000790.1,0.3555,96738,257.2981,Cnidaria
790,ENA_WAHB01000791_WAHB01000791.1,0.3662,101951,233.5361,Cnidaria
791,ENA_WAHB01000792_WAHB01000792.1,0.3659,95876,220.0854,Cnidaria
792,ENA_WAHB01000793_WAHB01000793.1,0.3708,99399,245.658,Cnidaria
793,ENA_WAHB01000794_WAHB01000794.1,0.3778,95881,341.5523,Cnidaria
794,ENA_WAHB01000795_WAHB01000795.1,0.368,96004,231.0645,Cnidaria
795,ENA_WAHB01000796_WAHB01000796.1,0.3797,95726,216.0911,Cnidaria
796,ENA_WAHB01000797_WAHB01000797.1,0.3665,97150,241.8576,Cnidaria
797,ENA_WAHB01000798_WAHB01000798.1,0.3696,96110,238.3804,no-hit
798,ENA_WAHB01000799_WAHB01000799.1,0.3653,96087,329.2785,Cnidaria
799,ENA_WAHB01000800_WAHB01000800.1,0.3659,95351,313.3479,no-hit
800,ENA_WAHB01000801_WAHB01000801.1,0.3674,99109,243.0604,Cnidaria
801,ENA_WAHB01000802_WAHB01000802.1,0.3706,92872,278.8599,no-hit
802,ENA_WAHB01000803_WAHB01000803.1,0.3713,95201,338.0174,Cnidaria
803,ENA_WAHB01000804_WAHB01000804.1,0.3591,94810,197.9008,Cnidaria
804,ENA_WAHB01000805_WAHB01000805.1,0.3685,99343,231.2902,Cnidaria
805,ENA_WAHB01000806_WAHB01000806.1,0.3719,95061,231.2872,Cnidaria
806,ENA_WAHB01000807_WAHB01000807.1,0.3874,103158,351.3587,Cnidaria
807,ENA_WAHB01000808_WAHB01000808.1,0.373,97579,255.3872,Cnidaria
808,ENA_WAHB01000809_WAHB01000809.1,0.3691,94685,224.3757,Cnidaria
809,ENA_WAHB01000810_WAHB01000810.1,0.3771,96029,260.3087,no-hit
810,ENA_WAHB01000811_WAHB01000811.1,0.374,96248,263.163,no-hit
811,ENA_WAHB01000812_WAHB01000812.1,0.3758,93483,312.1515,Cnidaria
812,ENA_WAHB01000813_WAHB01000813.1,0.3757,94133,294.2297,Cnidaria
813,ENA_WAHB01000814_WAHB01000814.1,0.3817,93425,287.4443,Cnidaria
814,ENA_WAHB01000815_WAHB01000815.1,0.3691,103758,259.9079,Cnidaria
815,ENA_WAHB01000816_WAHB01000816.1,0.3694,93216,246.0126,no-hit
816,ENA_WAHB01000817_WAHB01000817.1,0.3748,92912,242.5425,Cnidaria
817,ENA_WAHB01000818_WAHB01000818.1,0.3686,92960,230.9095,Cnidaria
818,ENA_WAHB01000819_WAHB01000819.1,0.3898,100028,289.4891,Cnidaria
819,ENA_WAHB01000820_WAHB01000820.1,0.3673,93792,262.7645,Cnidaria
820,ENA_WAHB01000821_WAHB01000821.1,0.3769,92081,248.7229,no-hit
821,ENA_WAHB01000822_WAHB01000822.1,0.3551,92667,213.2982,Cnidaria
822,ENA_WAHB01000823_WAHB01000823.1,0.3717,91821,233.6193,Cnidaria
823,ENA_WAHB01000824_WAHB01000824.1,0.3892,91866,485.5138,no-hit
824,ENA_WAHB01000825_WAHB01000825.1,0.3666,91809,222.6903,no-hit
825,ENA_WAHB01000826_WAHB01000826.1,0.3651,91738,174.3572,Cnidaria
826,ENA_WAHB01000827_WAHB01000827.1,0.378,91734,283.4178,Cnidaria
827,ENA_WAHB01000828_WAHB01000828.1,0.354,91908,226.1735,no-hit
828,ENA_WAHB01000829_WAHB01000829.1,0.3686,91878,259.1015,Cnidaria
829,ENA_WAHB01000830_WAHB01000830.1,0.3603,90896,205.3494,no-hit
830,ENA_WAHB01000831_WAHB01000831.1,0.3434,87863,229.4054,Cnidaria
831,ENA_WAHB01000832_WAHB01000832.1,0.3618,92263,331.6924,Chordata
832,ENA_WAHB01000833_WAHB01000833.1,0.3717,91434,230.7042,Cnidaria
833,ENA_WAHB01000834_WAHB01000834.1,0.3578,90888,258.5597,Cnidaria
834,ENA_WAHB01000835_WAHB01000835.1,0.3742,90862,301.5861,no-hit
835,ENA_WAHB01000836_WAHB01000836.1,0.3619,90671,336.9675,Cnidaria
836,ENA_WAHB01000837_WAHB01000837.1,0.3786,98347,287.796,Cnidaria
837,ENA_WAHB01000838_WAHB01000838.1,0.3744,90330,247.5946,Cnidaria
838,ENA_WAHB01000839_WAHB01000839.1,0.3867,92657,520.3309,Cnidaria
839,ENA_WAHB01000840_WAHB01000840.1,0.3711,90461,253.536,Cnidaria
840,ENA_WAHB01000841_WAHB01000841.1,0.3689,89671,248.454,Cnidaria
841,ENA_WAHB01000842_WAHB01000842.1,0.3764,89839,228.6375,Chordata
842,ENA_WAHB01000843_WAHB01000843.1,0.3615,90062,233.1601,Cnidaria
843,ENA_WAHB01000844_WAHB01000844.1,0.3599,89379,207.3785,Cnidaria
844,ENA_WAHB01000845_WAHB01000845.1,0.3754,89588,255.986,Cnidaria
845,ENA_WAHB01000846_WAHB01000846.1,0.3778,90344,320.7603,Cnidaria
846,ENA_WAHB01000847_WAHB01000847.1,0.3715,81324,304.4096,Cnidaria
847,ENA_WAHB01000848_WAHB01000848.1,0.3698,88189,278.9438,Cnidaria
848,ENA_WAHB01000849_WAHB01000849.1,0.3675,91582,211.729,Chordata
849,ENA_WAHB01000850_WAHB01000850.1,0.3768,91761,491.9321,Cnidaria
850,ENA_WAHB01000851_WAHB01000851.1,0.3735,92213,332.5313,no-hit
851,ENA_WAHB01000852_WAHB01000852.1,0.375,88789,240.8174,Cnidaria
852,ENA_WAHB01000853_WAHB01000853.1,0.3671,88802,235.3995,no-hit
853,ENA_WAHB01000854_WAHB01000854.1,0.3724,89008,244.8207,Cnidaria
854,ENA_WAHB01000855_WAHB01000855.1,0.3756,88295,775.2607,no-hit
855,ENA_WAHB01000856_WAHB01000856.1,0.3704,88445,235.3502,Chordata
856,ENA_WAHB01000857_WAHB01000857.1,0.3733,88607,248.1417,Cnidaria
857,ENA_WAHB01000858_WAHB01000858.1,0.3828,88105,255.3947,Cnidaria
858,ENA_WAHB01000859_WAHB01000859.1,0.3702,88413,262.3733,Cnidaria
859,ENA_WAHB01000860_WAHB01000860.1,0.3699,89769,278.241,Cnidaria
860,ENA_WAHB01000861_WAHB01000861.1,0.3667,91648,297.9129,Cnidaria
861,ENA_WAHB01000862_WAHB01000862.1,0.3707,87881,231.1317,Cnidaria
862,ENA_WAHB01000863_WAHB01000863.1,0.3732,87690,244.2932,Cnidaria
863,ENA_WAHB01000864_WAHB01000864.1,0.3666,85722,270.6157,Cnidaria
864,ENA_WAHB01000865_WAHB01000865.1,0.3662,88132,344.4887,Cnidaria
865,ENA_WAHB01000866_WAHB01000866.1,0.3735,85309,278.5115,Cnidaria
866,ENA_WAHB01000867_WAHB01000867.1,0.3839,87684,950.3231,Cnidaria
867,ENA_WAHB01000868_WAHB01000868.1,0.3659,87163,254.8901,Cnidaria
868,ENA_WAHB01000869_WAHB01000869.1,0.3718,87041,224.9902,Cnidaria
869,ENA_WAHB01000870_WAHB01000870.1,0.3802,86560,705.4399,Cnidaria
870,ENA_WAHB01000871_WAHB01000871.1,0.3678,86675,218.9818,Cnidaria
871,ENA_WAHB01000872_WAHB01000872.1,0.3753,86390,264.8415,Chordata
872,ENA_WAHB01000873_WAHB01000873.1,0.3774,90814,295.2822,no-hit
873,ENA_WAHB01000874_WAHB01000874.1,0.382,82594,266.6538,Cnidaria
874,ENA_WAHB01000875_WAHB01000875.1,0.3722,86147,247.1151,Cnidaria
875,ENA_WAHB01000876_WAHB01000876.1,0.3869,85626,532.3353,Cnidaria
876,ENA_WAHB01000877_WAHB01000877.1,0.3751,83215,271.5599,no-hit
877,ENA_WAHB01000878_WAHB01000878.1,0.3731,85902,271.2366,Cnidaria
878,ENA_WAHB01000879_WAHB01000879.1,0.3811,86753,304.5636,Cnidaria
879,ENA_WAHB01000880_WAHB01000880.1,0.367,85359,221.7912,no-hit
880,ENA_WAHB01000881_WAHB01000881.1,0.3883,85606,943.2092,Cnidaria
881,ENA_WAHB01000882_WAHB01000882.1,0.3825,84743,350.1396,Cnidaria
882,ENA_WAHB01000883_WAHB01000883.1,0.3639,85766,205.4464,no-hit
883,ENA_WAHB01000884_WAHB01000884.1,0.3715,85058,369.7232,Cnidaria
884,ENA_WAHB01000885_WAHB01000885.1,0.375,77081,449.4319,Cnidaria
885,ENA_WAHB01000886_WAHB01000886.1,0.3687,88121,314.6389,Cnidaria
886,ENA_WAHB01000887_WAHB01000887.1,0.364,84314,213.0342,Cnidaria
887,ENA_WAHB01000888_WAHB01000888.1,0.3711,83950,320.6968,Cnidaria
888,ENA_WAHB01000889_WAHB01000889.1,0.3785,89807,344.8462,Cnidaria
889,ENA_WAHB01000890_WAHB01000890.1,0.3689,84865,248.447,Cnidaria
890,ENA_WAHB01000891_WAHB01000891.1,0.3856,83395,3076.0024,no-hit
891,ENA_WAHB01000892_WAHB01000892.1,0.3749,91282,233.8639,Cnidaria
892,ENA_WAHB01000893_WAHB01000893.1,0.3493,86170,280.2689,Cnidaria
893,ENA_WAHB01000894_WAHB01000894.1,0.3726,83167,289.2999,Cnidaria
894,ENA_WAHB01000895_WAHB01000895.1,0.3799,82823,249.9431,Echinodermata
895,ENA_WAHB01000896_WAHB01000896.1,0.3623,82821,259.33,Cnidaria
896,ENA_WAHB01000897_WAHB01000897.1,0.3695,82729,233.9956,no-hit
897,ENA_WAHB01000898_WAHB01000898.1,0.3706,80080,223.0601,Cnidaria
898,ENA_WAHB01000899_WAHB01000899.1,0.3694,94924,463.8817,Cnidaria
899,ENA_WAHB01000900_WAHB01000900.1,0.3665,82629,223.2102,Arthropoda
900,ENA_WAHB01000901_WAHB01000901.1,0.3729,82706,240.1837,no-hit
901,ENA_WAHB01000902_WAHB01000902.1,0.3736,82405,257.2568,Cnidaria
902,ENA_WAHB01000903_WAHB01000903.1,0.3695,89972,243.3156,Cnidaria
903,ENA_WAHB01000904_WAHB01000904.1,0.3857,81117,349.1103,Cnidaria
904,ENA_WAHB01000905_WAHB01000905.1,0.3871,82065,262.4778,Cnidaria
905,ENA_WAHB01000906_WAHB01000906.1,0.3635,81324,238.7192,Cnidaria
906,ENA_WAHB01000907_WAHB01000907.1,0.3803,78449,292.1638,Cnidaria
907,ENA_WAHB01000908_WAHB01000908.1,0.3614,81993,239.6552,no-hit
908,ENA_WAHB01000909_WAHB01000909.1,0.3752,81417,243.2233,Cnidaria
909,ENA_WAHB01000910_WAHB01000910.1,0.3719,81392,242.7164,Cnidaria
910,ENA_WAHB01000911_WAHB01000911.1,0.3674,81791,309.0117,Cnidaria
911,ENA_WAHB01000912_WAHB01000912.1,0.3637,82319,251.8179,Cnidaria
912,ENA_WAHB01000913_WAHB01000913.1,0.3733,81025,248.7642,no-hit
913,ENA_WAHB01000914_WAHB01000914.1,0.3662,80903,254.7694,Cnidaria
914,ENA_WAHB01000915_WAHB01000915.1,0.3676,84039,233.8669,Cnidaria
915,ENA_WAHB01000916_WAHB01000916.1,0.3728,80856,336.1915,Cnidaria
916,ENA_WAHB01000917_WAHB01000917.1,0.3807,81380,411.6716,Cnidaria
917,ENA_WAHB01000918_WAHB01000918.1,0.3805,81436,278.0279,Cnidaria
918,ENA_WAHB01000919_WAHB01000919.1,0.3653,80162,4175.3246,Cnidaria
919,ENA_WAHB01000920_WAHB01000920.1,0.3578,81980,211.8107,no-hit
920,ENA_WAHB01000921_WAHB01000921.1,0.3665,80157,247.3269,no-hit
921,ENA_WAHB01000922_WAHB01000922.1,0.3669,79693,469.5351,Cnidaria
922,ENA_WAHB01000923_WAHB01000923.1,0.3671,81164,498.927,Cnidaria
923,ENA_WAHB01000924_WAHB01000924.1,0.3697,79498,223.4124,Cnidaria
924,ENA_WAHB01000925_WAHB01000925.1,0.3511,79617,276.9781,Cnidaria
925,ENA_WAHB01000926_WAHB01000926.1,0.3777,79456,391.6491,no-hit
926,ENA_WAHB01000927_WAHB01000927.1,0.3759,80870,433.8496,Arthropoda
927,ENA_WAHB01000928_WAHB01000928.1,0.3661,79088,257.9417,Cnidaria
928,ENA_WAHB01000929_WAHB01000929.1,0.3793,77334,1241.8465,Cnidaria
929,ENA_WAHB01000930_WAHB01000930.1,0.376,78610,337.9999,Cnidaria
930,ENA_WAHB01000931_WAHB01000931.1,0.3684,78920,319.5635,Cnidaria
931,ENA_WAHB01000932_WAHB01000932.1,0.3768,78873,241.6493,Cnidaria
932,ENA_WAHB01000933_WAHB01000933.1,0.3706,78658,260.3171,Cnidaria
933,ENA_WAHB01000934_WAHB01000934.1,0.3804,78500,313.3897,Cnidaria
934,ENA_WAHB01000935_WAHB01000935.1,0.3932,79045,292.369,Chordata
935,ENA_WAHB01000936_WAHB01000936.1,0.3781,87881,329.953,Cnidaria
936,ENA_WAHB01000937_WAHB01000937.1,0.3676,78286,389.012,Cnidaria
937,ENA_WAHB01000938_WAHB01000938.1,0.3691,76468,249.1232,Cnidaria
938,ENA_WAHB01000939_WAHB01000939.1,0.3602,80929,163.7214,no-hit
939,ENA_WAHB01000940_WAHB01000940.1,0.3836,82980,254.9251,Cnidaria
940,ENA_WAHB01000941_WAHB01000941.1,0.3647,79919,190.8543,Cnidaria
941,ENA_WAHB01000942_WAHB01000942.1,0.3733,76551,286.8795,Cnidaria
942,ENA_WAHB01000943_WAHB01000943.1,0.3688,82605,317.8136,Cnidaria
943,ENA_WAHB01000944_WAHB01000944.1,0.3766,77017,240.0294,Cnidaria
944,ENA_WAHB01000945_WAHB01000945.1,0.3587,79992,282.781,Cnidaria
945,ENA_WAHB01000946_WAHB01000946.1,0.3786,76378,261.8633,Cnidaria
946,ENA_WAHB01000947_WAHB01000947.1,0.3724,76285,248.8488,Cnidaria
947,ENA_WAHB01000948_WAHB01000948.1,0.3775,76269,267.4771,Cnidaria
948,ENA_WAHB01000949_WAHB01000949.1,0.4399,76065,1597.4239,Cnidaria
949,ENA_WAHB01000950_WAHB01000950.1,0.371,80435,206.5195,Cnidaria
950,ENA_WAHB01000951_WAHB01000951.1,0.3782,76653,220.9932,Cnidaria
951,ENA_WAHB01000952_WAHB01000952.1,0.3916,76235,303.4297,no-hit
952,ENA_WAHB01000953_WAHB01000953.1,0.3652,76214,225.1934,no-hit
953,ENA_WAHB01000954_WAHB01000954.1,0.3685,75818,267.6235,Cnidaria
954,ENA_WAHB01000955_WAHB01000955.1,0.3541,71033,147.9656,no-hit
955,ENA_WAHB01000956_WAHB01000956.1,0.3674,83160,241.8948,Cnidaria
956,ENA_WAHB01000957_WAHB01000957.1,0.3618,73906,228.2281,no-hit
957,ENA_WAHB01000958_WAHB01000958.1,0.357,75217,224.8299,Cnidaria
958,ENA_WAHB01000959_WAHB01000959.1,0.3867,79661,556.6182,Cnidaria
959,ENA_WAHB01000960_WAHB01000960.1,0.3725,74885,236.7688,no-hit
960,ENA_WAHB01000961_WAHB01000961.1,0.3914,76319,577.9372,Cnidaria
961,ENA_WAHB01000962_WAHB01000962.1,0.3823,76617,239.339,Cnidaria
962,ENA_WAHB01000963_WAHB01000963.1,0.3656,74655,556.2907,Cnidaria
963,ENA_WAHB01000964_WAHB01000964.1,0.3718,75337,337.7205,Cnidaria
964,ENA_WAHB01000965_WAHB01000965.1,0.3541,74617,120.4771,Cnidaria
965,ENA_WAHB01000966_WAHB01000966.1,0.3814,74253,1309.5938,Cnidaria
966,ENA_WAHB01000967_WAHB01000967.1,0.3941,74085,353.0603,Cnidaria
967,ENA_WAHB01000968_WAHB01000968.1,0.3636,74498,215.6202,Cnidaria
968,ENA_WAHB01000969_WAHB01000969.1,0.3739,73405,263.9471,Cnidaria
969,ENA_WAHB01000970_WAHB01000970.1,0.4045,78054,650.4894,Cnidaria
970,ENA_WAHB01000971_WAHB01000971.1,0.3767,73112,233.4765,Chordata
971,ENA_WAHB01000972_WAHB01000972.1,0.3638,73216,206.0473,no-hit
972,ENA_WAHB01000973_WAHB01000973.1,0.3691,74749,259.1166,Cnidaria
973,ENA_WAHB01000974_WAHB01000974.1,0.3669,72504,230.5789,no-hit
974,ENA_WAHB01000975_WAHB01000975.1,0.3835,73038,272.7173,Cnidaria
975,ENA_WAHB01000976_WAHB01000976.1,0.3566,72888,216.9018,no-hit
976,ENA_WAHB01000977_WAHB01000977.1,0.3755,72537,249.0224,Cnidaria
977,ENA_WAHB01000978_WAHB01000978.1,0.3793,72333,371.0628,Cnidaria
978,ENA_WAHB01000979_WAHB01000979.1,0.3824,77137,546.246,no-hit
979,ENA_WAHB01000980_WAHB01000980.1,0.3602,72430,201.2119,no-hit
980,ENA_WAHB01000981_WAHB01000981.1,0.3749,72352,909.9478,Cnidaria
981,ENA_WAHB01000982_WAHB01000982.1,0.38,73410,213.6273,Cnidaria
982,ENA_WAHB01000983_WAHB01000983.1,0.3676,76999,213.6327,no-hit
983,ENA_WAHB01000984_WAHB01000984.1,0.3772,69250,274.9553,Cnidaria
984,ENA_WAHB01000985_WAHB01000985.1,0.3614,76233,226.1949,Cnidaria
985,ENA_WAHB01000986_WAHB01000986.1,0.3836,74501,262.9383,Cnidaria
986,ENA_WAHB01000987_WAHB01000987.1,0.3794,71678,290.6752,Cnidaria
987,ENA_WAHB01000988_WAHB01000988.1,0.3712,83234,342.3114,no-hit
988,ENA_WAHB01000989_WAHB01000989.1,0.3711,71594,545.2607,Cnidaria
989,ENA_WAHB01000990_WAHB01000990.1,0.3797,71134,423.4832,no-hit
990,ENA_WAHB01000991_WAHB01000991.1,0.3786,70767,572.9057,Cnidaria
991,ENA_WAHB01000992_WAHB01000992.1,0.3734,70684,258.6026,Cnidaria
992,ENA_WAHB01000993_WAHB01000993.1,0.3709,74639,374.7478,Cnidaria
993,ENA_WAHB01000994_WAHB01000994.1,0.3688,70357,264.8994,Cnidaria
994,ENA_WAHB01000995_WAHB01000995.1,0.3694,71097,274.022,Cnidaria
995,ENA_WAHB01000996_WAHB01000996.1,0.361,72501,207.8449,Cnidaria
996,ENA_WAHB01000997_WAHB01000997.1,0.3755,70872,767.8014,Cnidaria
997,ENA_WAHB01000998_WAHB01000998.1,0.3675,70263,201.8769,Cnidaria
998,ENA_WAHB01000999_WAHB01000999.1,0.3677,69813,201.9499,Cnidaria
999,ENA_WAHB01001000_WAHB01001000.1,0.3629,69728,1582.9243,Cnidaria
